Timestamp,Temperature,Gas,Humidity,Pressure,Altitude,Visible Light,IR Light
29.0998,26.0,82901,41.4,1011.5,14.7,50.0,57.0
29.3998,26.0,82500,41.4,1011.5,14.7,52.0,59.0
29.6998,26.0,83224,41.3,1011.5,14.7,41.0,44.0
29.9998,26.0,83387,41.3,1011.5,14.8,42.0,47.0
30.2997,26.0,85390,41.2,1011.5,14.7,37.0,46.0
30.5997,26.0,84544,41.2,1011.5,14.7,44.0,50.0
30.8997,26.0,85219,41.2,1011.5,14.7,37.0,46.0
31.1997,26.0,85992,41.2,1011.5,14.7,36.0,44.0
31.4997,26.0,87491,41.2,1011.5,14.7,54.0,60.0
31.7997,26.0,86867,41.1,1011.5,14.7,55.0,61.0
32.0997,26.0,88033,41.1,1011.5,14.7,54.0,59.0
32.3997,26.0,88306,41.1,1011.5,14.7,53.0,59.0
32.6997,26.0,88765,41.0,1011.5,14.8,53.0,59.0
32.9997,26.0,89043,41.0,1011.5,14.8,52.0,59.0
33.2997,25.9,89793,41.1,1011.5,14.8,54.0,60.0
33.5997,25.9,90459,41.1,1011.5,14.8,53.0,57.0
33.8996,25.9,91038,41.1,1011.5,14.9,54.0,60.0
34.1996,25.9,90459,41.1,1011.5,14.8,54.0,61.0
34.4996,25.9,90941,41.2,1011.5,14.7,54.0,61.0
34.7996,25.9,91624,41.3,1011.5,14.8,54.0,61.0
35.0996,25.9,91526,41.5,1011.5,14.7,54.0,61.0
35.3996,25.9,89982,41.7,1011.5,14.7,54.0,61.0
35.6996,25.9,90941,41.9,1011.5,14.7,54.0,60.0
35.9996,25.9,91526,42.1,1011.5,14.7,48.0,56.0
36.2995,25.9,94117,42.2,1011.5,14.8,48.0,55.0
36.5995,25.9,94221,42.3,1011.5,14.8,45.0,55.0
36.8995,25.9,95167,42.3,1011.5,14.7,50.0,56.0
37.1995,25.9,95647,42.3,1011.5,14.7,47.0,56.0
37.4995,25.9,96458,42.4,1011.5,14.7,52.0,60.0
37.7995,25.9,96458,42.3,1011.5,14.8,53.0,61.0
38.0995,25.9,97952,42.3,1011.5,14.8,51.0,58.0
38.3995,25.9,98009,42.3,1011.5,14.7,52.0,59.0
38.6994,25.9,98575,42.3,1011.5,14.7,43.0,47.0
38.9994,25.9,99902,42.3,1011.5,14.7,58.0,61.0
39.2994,25.9,99321,42.4,1011.5,14.7,58.0,61.0
39.5994,25.9,100136,42.4,1011.5,14.7,58.0,61.0
39.8994,25.9,100846,42.3,1011.5,14.7,56.0,62.0
40.1994,25.9,101809,42.3,1011.5,14.8,39.0,48.0
40.4994,25.9,102666,42.2,1011.5,14.7,39.0,45.0
40.7994,25.9,102914,42.1,1011.5,14.7,42.0,45.0
41.0994,25.9,104107,42.0,1011.5,14.7,43.0,47.0
41.3993,25.8,104043,41.9,1011.5,14.8,43.0,45.0
41.6993,25.8,104682,41.9,1011.5,14.8,42.0,46.0
41.9993,25.8,104939,41.9,1011.5,14.8,46.0,49.0
42.2993,25.8,106246,41.8,1011.5,14.8,44.0,49.0
42.5993,25.8,106577,41.8,1011.5,14.8,43.0,48.0
42.8993,25.8,106444,41.8,1011.5,14.8,42.0,48.0
43.1993,25.8,107721,41.7,1011.5,14.7,41.0,46.0
43.4993,25.8,108405,41.6,1011.5,14.7,42.0,46.0
43.7992,25.8,108751,41.6,1011.5,14.7,42.0,46.0
44.0992,25.8,109378,41.5,1011.5,14.8,40.0,47.0
44.3992,25.8,109168,41.5,1011.5,14.8,39.0,47.0
44.6992,25.8,109871,41.4,1011.5,14.8,40.0,47.0
44.9992,25.8,111522,41.4,1011.5,14.9,40.0,48.0
45.2992,25.8,110511,41.3,1011.5,14.9,39.0,46.0
45.5992,25.8,111014,41.3,1011.5,14.9,42.0,48.0
45.8992,25.8,111668,41.3,1011.5,14.9,38.0,46.0
46.1991,25.8,113374,41.2,1011.5,14.8,43.0,47.0
46.4991,25.8,113149,41.2,1011.5,14.8,44.0,47.0
46.7991,25.8,112924,41.1,1011.5,14.8,43.0,48.0
47.0991,25.8,113525,41.1,1011.5,14.7,46.0,48.0
47.3991,25.8,113904,41.1,1011.5,14.7,44.0,49.0
