Timestamp,Temperature,Gas,Humidity,Pressure,Altitude,Visible Light,IR Light
0.3,25.8,212096,52.3,1010.6,22.1,110.0,110.0
0.6,25.8,104170,52.5,1010.6,22.1,110.0,110.0
0.9,25.9,115367,52.5,1010.6,22.1,110.0,110.0
1.2,25.9,132676,52.5,1010.6,22.1,110.0,110.0
1.5,26.0,144225,52.5,1010.6,22.1,110.0,110.0
1.8,26.0,143981,52.4,1010.6,22.2,110.0,110.0
2.1,26.1,155104,52.5,1010.6,22.1,110.0,110.0
2.4,26.1,155812,52.3,1010.6,22.1,111.0,110.0
2.7,26.1,148880,52.2,1010.6,22.1,111.0,110.0
3.0,26.1,165964,52.2,1010.6,22.2,112.0,110.0
3.3,26.2,167429,52.0,1010.6,22.2,112.0,111.0
3.59999,26.2,171985,51.7,1010.6,22.2,111.0,110.0
3.89999,26.2,175522,51.4,1010.6,22.2,111.0,110.0
4.19999,26.2,164365,51.1,1010.6,22.2,111.0,110.0
4.49999,26.2,164683,51.0,1010.6,22.1,111.0,110.0
4.79999,26.2,171812,51.0,1010.6,22.2,111.0,110.0
5.09999,26.2,178646,50.9,1010.6,22.2,111.0,110.0
5.39999,26.2,185238,50.7,1010.6,22.2,111.0,110.0
5.69999,26.2,187271,50.4,1010.6,22.1,112.0,110.0
5.99999,26.2,176795,50.1,1010.6,22.1,111.0,110.0
6.29999,26.2,174090,50.0,1010.6,22.2,111.0,110.0
6.59999,26.3,183842,49.9,1010.6,22.1,111.0,110.0
6.89999,26.3,179775,49.8,1010.6,22.1,110.0,111.0
7.19999,26.3,191832,49.7,1010.6,22.1,110.0,111.0
7.49998,26.3,185440,49.5,1010.6,22.2,110.0,111.0
7.79998,26.3,183249,49.4,1010.6,22.2,112.0,110.0
8.09998,26.3,193244,49.2,1010.6,22.2,112.0,110.0
8.39998,26.3,195681,49.1,1010.6,22.2,112.0,110.0
8.69998,26.3,177716,49.0,1010.6,22.2,110.0,111.0
8.99998,26.3,196018,49.0,1010.6,22.2,112.0,110.0
9.29998,26.3,194233,48.9,1010.6,22.2,112.0,110.0
9.59998,26.3,182466,48.9,1010.6,22.3,110.0,111.0
9.89998,26.3,193682,48.9,1010.6,22.2,111.0,111.0
10.2,26.3,196018,48.9,1010.6,22.2,113.0,110.0
10.5,26.3,186861,48.8,1010.6,22.2,106.0,109.0
10.8,26.3,199804,48.8,1010.6,22.2,105.0,110.0
11.1,26.3,201218,48.6,1010.6,22.2,110.0,107.0
11.4,26.3,200626,48.4,1010.6,22.2,109.0,110.0
11.7,26.3,202291,48.2,1010.6,22.3,109.0,110.0
12.0,26.3,177716,48.2,1010.6,22.3,109.0,110.0
12.3,26.3,178086,48.4,1010.6,22.3,109.0,110.0
12.6,26.3,186861,48.6,1010.6,22.3,111.0,109.0
12.9,26.3,183249,48.7,1010.6,22.3,110.0,109.0
13.2,26.3,173559,48.8,1010.6,22.3,109.0,110.0
13.5,26.3,171985,49.1,1010.6,22.3,111.0,109.0
13.8,26.3,179586,49.4,1010.6,22.4,109.0,110.0
14.1,26.3,166612,49.8,1010.6,22.3,110.0,110.0
14.4,26.4,171985,50.1,1010.6,22.3,110.0,110.0
14.7,26.4,175884,50.3,1010.6,22.2,110.0,110.0
15.0,26.4,174268,50.5,1010.6,22.2,110.0,110.0
15.3,26.4,178272,50.6,1010.6,22.2,111.0,110.0
15.6,26.4,182466,50.6,1010.6,22.2,110.0,110.0
15.9,26.4,179208,50.5,1010.6,22.3,110.0,110.0
16.2,26.4,183842,50.6,1010.6,22.3,111.0,110.0
16.5,26.4,178086,50.6,1010.6,22.3,112.0,110.0
16.7999,26.4,166287,50.6,1010.6,22.3,111.0,111.0
17.0999,26.4,176978,50.7,1010.6,22.2,110.0,111.0
17.3999,26.4,178459,50.8,1010.6,22.2,112.0,110.0
17.6999,26.4,175162,50.7,1010.6,22.2,111.0,110.0
17.9999,26.4,191939,50.8,1010.6,22.1,111.0,110.0
18.2999,26.4,183644,50.6,1010.6,22.1,110.0,111.0
18.5999,26.4,177716,50.5,1010.6,22.1,107.0,110.0
18.8999,26.4,192807,50.3,1010.6,22.1,108.0,108.0
19.1999,26.4,192916,50.2,1010.6,22.1,108.0,109.0
19.4999,26.4,181110,50.1,1010.6,22.1,106.0,110.0
19.7999,26.4,183842,50.2,1010.6,22.2,109.0,108.0
20.0999,26.4,192264,50.3,1010.6,22.2,107.0,109.0
20.3999,26.4,178086,50.4,1010.6,22.2,105.0,110.0
20.6999,26.4,176978,50.4,1010.6,22.2,110.0,108.0
20.9999,26.4,184637,50.5,1010.6,22.2,107.0,109.0
21.2999,26.4,192264,50.4,1010.6,22.2,106.0,109.0
21.5999,26.4,166287,50.4,1010.6,22.1,109.0,108.0
21.8999,26.4,173382,50.6,1010.6,22.1,108.0,108.0
